Date,GDP
2016-09-19,18897255.06521739
2016-09-20,18899207.20652174
2016-09-21,18901159.347826086
2016-09-22,18903111.489130434
2016-09-23,18905063.63043478
2016-09-24,18907015.77173913
2016-09-25,18908967.913043477
2016-09-26,18910920.054347824
2016-09-27,18912872.195652176
2016-09-28,18914824.336956523
2016-09-29,18916776.47826087
2016-09-30,18918728.61956522
2016-10-01,18920680.760869566
2016-10-02,18922632.902173914
2016-10-03,18924585.04347826
2016-10-04,18926537.18478261
2016-10-05,18928489.326086957
2016-10-06,18930441.467391305
2016-10-07,18932393.608695652
2016-10-08,18934345.75
2016-10-09,18936297.891304348
2016-10-10,18938250.032608695
2016-10-11,18940202.173913043
2016-10-12,18942154.31521739
2016-10-13,18944106.45652174
2016-10-14,18946058.597826086
2016-10-15,18948010.739130434
2016-10-16,18949962.88043478
2016-10-17,18951915.02173913
2016-10-18,18953867.163043477
2016-10-19,18955819.304347824
2016-10-20,18957771.445652176
2016-10-21,18959723.586956523
2016-10-22,18961675.72826087
2016-10-23,18963627.86956522
2016-10-24,18965580.010869566
2016-10-25,18967532.152173914
2016-10-26,18969484.29347826
2016-10-27,18971436.43478261
2016-10-28,18973388.576086957
2016-10-29,18975340.717391305
2016-10-30,18977292.858695652
2016-10-31,18979245.0
2016-11-01,18981237.445652176
2016-11-02,18983229.891304348
2016-11-03,18985222.336956523
2016-11-04,18987214.782608695
2016-11-05,18989207.22826087
2016-11-06,18991199.673913043
2016-11-07,18993192.11956522
2016-11-08,18995184.56521739
2016-11-09,18997177.010869566
2016-11-10,18999169.45652174
2016-11-11,19001161.902173914
2016-11-12,19003154.347826086
2016-11-13,19005146.79347826
2016-11-14,19007139.239130434
2016-11-15,19009131.68478261
2016-11-16,19011124.13043478
2016-11-17,19013116.576086957
2016-11-18,19015109.02173913
2016-11-19,19017101.467391305
2016-11-20,19019093.913043477
2016-11-21,19021086.358695652
2016-11-22,19023078.804347824
2016-11-23,19025071.25
2016-11-24,19027063.695652176
2016-11-25,19029056.141304348
2016-11-26,19031048.586956523
2016-11-27,19033041.032608695
2016-11-28,19035033.47826087
2016-11-29,19037025.923913043
2016-11-30,19039018.36956522
2016-12-01,19041010.81521739
2016-12-02,19043003.260869566
2016-12-03,19044995.70652174
2016-12-04,19046988.152173914
2016-12-05,19048980.597826086
2016-12-06,19050973.04347826
2016-12-07,19052965.489130434
2016-12-08,19054957.93478261
2016-12-09,19056950.38043478
2016-12-10,19058942.826086957
2016-12-11,19060935.27173913
2016-12-12,19062927.717391305
2016-12-13,19064920.163043477
2016-12-14,19066912.608695652
2016-12-15,19068905.054347824
2016-12-16,19070897.5
2016-12-17,19072889.945652176
2016-12-18,19074882.391304348
2016-12-19,19076874.836956523
2016-12-20,19078867.282608695
2016-12-21,19080859.72826087
2016-12-22,19082852.173913043
2016-12-23,19084844.61956522
2016-12-24,19086837.06521739
2016-12-25,19088829.510869566
2016-12-26,19090821.95652174
2016-12-27,19092814.402173914
2016-12-28,19094806.847826086
2016-12-29,19096799.29347826
2016-12-30,19098791.739130434
2016-12-31,19100784.18478261
2017-01-01,19102776.63043478
2017-01-02,19104769.076086957
2017-01-03,19106761.52173913
2017-01-04,19108753.967391305
2017-01-05,19110746.413043477
2017-01-06,19112738.858695652
2017-01-07,19114731.304347824
2017-01-08,19116723.75
2017-01-09,19118716.195652176
2017-01-10,19120708.641304348
2017-01-11,19122701.086956523
2017-01-12,19124693.532608695
2017-01-13,19126685.97826087
2017-01-14,19128678.423913043
2017-01-15,19130670.86956522
2017-01-16,19132663.31521739
2017-01-17,19134655.760869566
2017-01-18,19136648.20652174
2017-01-19,19138640.652173914
2017-01-20,19140633.097826086
2017-01-21,19142625.54347826
2017-01-22,19144617.989130434
2017-01-23,19146610.43478261
2017-01-24,19148602.88043478
2017-01-25,19150595.326086957
2017-01-26,19152587.77173913
2017-01-27,19154580.217391305
2017-01-28,19156572.663043477
2017-01-29,19158565.108695652
2017-01-30,19160557.554347824
2017-01-31,19162550.0
2017-02-01,19164758.68539326
2017-02-02,19166967.370786518
2017-02-03,19169176.056179777
2017-02-04,19171384.741573032
2017-02-05,19173593.42696629
2017-02-06,19175802.11235955
2017-02-07,19178010.79775281
2017-02-08,19180219.483146068
2017-02-09,19182428.168539327
2017-02-10,19184636.853932586
2017-02-11,19186845.539325844
2017-02-12,19189054.2247191
2017-02-13,19191262.91011236
2017-02-14,19193471.595505618
2017-02-15,19195680.280898876
2017-02-16,19197888.966292135
2017-02-17,19200097.651685394
2017-02-18,19202306.337078653
2017-02-19,19204515.02247191
2017-02-20,19206723.707865167
2017-02-21,19208932.393258426
2017-02-22,19211141.078651685
2017-02-23,19213349.764044944
2017-02-24,19215558.449438203
2017-02-25,19217767.134831462
2017-02-26,19219975.820224717
2017-02-27,19222184.505617976
2017-02-28,19224393.191011235
2017-03-01,19226601.876404494
2017-03-02,19228810.561797753
2017-03-03,19231019.247191012
2017-03-04,19233227.93258427
2017-03-05,19235436.61797753
2017-03-06,19237645.303370785
2017-03-07,19239853.988764044
2017-03-08,19242062.674157303
2017-03-09,19244271.35955056
2017-03-10,19246480.04494382
2017-03-11,19248688.73033708
2017-03-12,19250897.41573034
2017-03-13,19253106.101123594
2017-03-14,19255314.786516853
2017-03-15,19257523.47191011
2017-03-16,19259732.15730337
2017-03-17,19261940.84269663
2017-03-18,19264149.52808989
2017-03-19,19266358.213483147
2017-03-20,19268566.898876406
2017-03-21,19270775.58426966
2017-03-22,19272984.26966292
2017-03-23,19275192.95505618
2017-03-24,19277401.64044944
2017-03-25,19279610.325842697
2017-03-26,19281819.011235956
2017-03-27,19284027.696629215
2017-03-28,19286236.38202247
2017-03-29,19288445.06741573
2017-03-30,19290653.752808988
2017-03-31,19292862.438202247
2017-04-01,19295071.123595506
2017-04-02,19297279.808988765
2017-04-03,19299488.494382024
2017-04-04,19301697.179775283
2017-04-05,19303905.865168538
2017-04-06,19306114.550561797
2017-04-07,19308323.235955056
2017-04-08,19310531.921348315
2017-04-09,19312740.606741574
2017-04-10,19314949.292134833
2017-04-11,19317157.97752809
2017-04-12,19319366.662921347
2017-04-13,19321575.348314606
2017-04-14,19323784.033707865
2017-04-15,19325992.719101124
2017-04-16,19328201.404494382
2017-04-17,19330410.08988764
2017-04-18,19332618.7752809
2017-04-19,19334827.460674156
2017-04-20,19337036.146067414
2017-04-21,19339244.831460673
2017-04-22,19341453.516853932
2017-04-23,19343662.20224719
2017-04-24,19345870.88764045
2017-04-25,19348079.57303371
2017-04-26,19350288.258426968
2017-04-27,19352496.943820223
2017-04-28,19354705.629213482
2017-04-29,19356914.31460674
2017-04-30,19359123.0
2017-05-01,19361611.597826086
2017-05-02,19364100.195652176
2017-05-03,19366588.79347826
2017-05-04,19369077.391304348
2017-05-05,19371565.989130434
2017-05-06,19374054.586956523
2017-05-07,19376543.18478261
2017-05-08,19379031.782608695
2017-05-09,19381520.38043478
2017-05-10,19384008.97826087
2017-05-11,19386497.576086957
2017-05-12,19388986.173913043
2017-05-13,19391474.77173913
2017-05-14,19393963.36956522
2017-05-15,19396451.967391305
2017-05-16,19398940.56521739
2017-05-17,19401429.163043477
2017-05-18,19403917.760869566
2017-05-19,19406406.358695652
2017-05-20,19408894.95652174
2017-05-21,19411383.554347824
2017-05-22,19413872.152173914
2017-05-23,19416360.75
2017-05-24,19418849.347826086
2017-05-25,19421337.945652176
2017-05-26,19423826.54347826
2017-05-27,19426315.141304348
2017-05-28,19428803.739130434
2017-05-29,19431292.336956523
2017-05-30,19433780.93478261
2017-05-31,19436269.532608695
2017-06-01,19438758.13043478
2017-06-02,19441246.72826087
2017-06-03,19443735.326086957
2017-06-04,19446223.923913043
2017-06-05,19448712.52173913
