CAPOP,Date
39383193.15890472,2016-11-30
39383714.3150691,2016-12-01
39384235.47123349,2016-12-02
39384756.62739787,2016-12-03
39385277.78356226,2016-12-04
39385798.93972664,2016-12-05
39386320.09589103,2016-12-06
39386841.252055414,2016-12-07
39387362.4082198,2016-12-08
39387883.564384185,2016-12-09
39388404.72054857,2016-12-10
39388925.876712956,2016-12-11
39389447.03287734,2016-12-12
39389968.18904173,2016-12-13
39390489.34520611,2016-12-14
39391010.5013705,2016-12-15
39391531.65753488,2016-12-16
39392052.81369927,2016-12-17
39392573.96986365,2016-12-18
39393095.12602804,2016-12-19
39393616.282192424,2016-12-20
39394137.43835681,2016-12-21
39394658.594521195,2016-12-22
39395179.75068558,2016-12-23
39395700.906849965,2016-12-24
39396222.06301435,2016-12-25
39396743.219178736,2016-12-26
39397264.37534312,2016-12-27
39397785.53150751,2016-12-28
39398306.68767189,2016-12-29
39398827.84383628,2016-12-30
39399349.00000066,2016-12-31
39399349.0,2017-01-01
39399781.04383562,2017-01-02
39400213.087671235,2017-01-03
39400645.13150685,2017-01-04
39401077.17534247,2017-01-05
39401509.21917809,2017-01-06
39401941.263013706,2017-01-07
39402373.30684932,2017-01-08
39402805.35068494,2017-01-09
39403237.39452056,2017-01-10
39403669.438356176,2017-01-11
39404101.48219179,2017-01-12
39404533.52602741,2017-01-13
39404965.56986303,2017-01-14
39405397.61369865,2017-01-15
39405829.657534264,2017-01-16
39406261.70136988,2017-01-17
39406693.7452055,2017-01-18
39407125.78904112,2017-01-19
39407557.832876734,2017-01-20
39407989.87671235,2017-01-21
39408421.92054797,2017-01-22
39408853.96438359,2017-01-23
39409286.008219205,2017-01-24
39409718.05205482,2017-01-25
39410150.09589044,2017-01-26
39410582.13972606,2017-01-27
39411014.183561675,2017-01-28
39411446.22739729,2017-01-29
39411878.27123291,2017-01-30
39412310.31506853,2017-01-31
39412742.358904146,2017-02-01
39413174.40273976,2017-02-02
39413606.44657538,2017-02-03
39414038.490411,2017-02-04
39414470.534246616,2017-02-05
39414902.57808223,2017-02-06
39415334.62191785,2017-02-07
39415766.66575347,2017-02-08
39416198.70958909,2017-02-09
39416630.753424704,2017-02-10
39417062.79726032,2017-02-11
39417494.84109594,2017-02-12
39417926.88493156,2017-02-13
39418358.928767174,2017-02-14
39418790.97260279,2017-02-15
39419223.01643841,2017-02-16
39419655.06027403,2017-02-17
39420087.104109645,2017-02-18
39420519.14794526,2017-02-19
39420951.19178088,2017-02-20
39421383.2356165,2017-02-21
39421815.279452115,2017-02-22
39422247.32328773,2017-02-23
39422679.36712335,2017-02-24
39423111.41095897,2017-02-25
39423543.454794586,2017-02-26
39423975.4986302,2017-02-27
39424407.54246582,2017-02-28
39424839.58630144,2017-03-01
39425271.630137056,2017-03-02
39425703.67397267,2017-03-03
39426135.71780829,2017-03-04
39426567.76164391,2017-03-05
39426999.80547953,2017-03-06
39427431.849315144,2017-03-07
39427863.89315076,2017-03-08
39428295.93698638,2017-03-09
39428727.980822,2017-03-10
39429160.024657615,2017-03-11
39429592.06849323,2017-03-12
39430024.11232885,2017-03-13
39430456.15616447,2017-03-14
39430888.200000085,2017-03-15
39431320.2438357,2017-03-16
39431752.28767132,2017-03-17
39432184.33150694,2017-03-18
39432616.375342555,2017-03-19
39433048.41917817,2017-03-20
39433480.46301379,2017-03-21
39433912.50684941,2017-03-22
39434344.550685026,2017-03-23
39434776.59452064,2017-03-24
39435208.63835626,2017-03-25
39435640.68219188,2017-03-26
39436072.726027496,2017-03-27
39436504.769863114,2017-03-28
39436936.81369873,2017-03-29
39437368.85753435,2017-03-30
39437800.90136997,2017-03-31
39438232.945205584,2017-04-01
39438664.9890412,2017-04-02
39439097.03287682,2017-04-03
39439529.07671244,2017-04-04
39439961.120548055,2017-04-05
39440393.16438367,2017-04-06
39440825.20821929,2017-04-07
39441257.25205491,2017-04-08
39441689.295890525,2017-04-09
39442121.33972614,2017-04-10
39442553.38356176,2017-04-11
39442985.42739738,2017-04-12
39443417.471232995,2017-04-13
39443849.51506861,2017-04-14
39444281.55890423,2017-04-15
39444713.60273985,2017-04-16
39445145.646575466,2017-04-17
39445577.69041108,2017-04-18
39446009.7342467,2017-04-19
39446441.77808232,2017-04-20
39446873.821917936,2017-04-21
39447305.865753554,2017-04-22
39447737.90958917,2017-04-23
39448169.95342479,2017-04-24
39448601.99726041,2017-04-25
39449034.041096024,2017-04-26
